milestone,owner,date,notes
Press release draft v1,priyanka_shah,2026-04-20,Against old April 28 launch
Landing page copy v1,tomasz_wojcik,2026-04-21,Against old April 28 launch
Claims matrix v1 → Devika CLM,priyanka_shah,2026-04-22,Submitted for old date; now stale
Fiona EMEA sign-off deadline,fiona_breathnach,2026-04-24,16:00 IST — now stale
HubSpot wave 1 (nurture),kofi_asante,2026-04-21,Paused pending new calendar
HubSpot wave 2 (paid social),kofi_asante,2026-04-24,Paused pending new calendar
HubSpot wave 3 (sales outreach),kofi_asante,2026-04-26,Paused pending new calendar
Sales enablement packet live,priyanka_shah,2026-04-23,Must re-ship post approval
SDR script refresh,priyanka_shah,2026-04-25,Ditto
Whitefield embargo briefing,sean_o_riordain,2026-04-26,Must re-brief against May 12
CMO review (Margo),margo_delacroix,2026-04-24,Must re-schedule
Launch day (press release + landing page live),all,2026-04-28,SLIPPED — new date May 12
