district_name,state,contract_value,knowgraph_content_used,knowgraph_references_in_contract,renewal_date,risk_level,account_owner,primary_contact_title,enrollment,notes
Fairfax County Public Schools,VA,2300000,yes,yes,2026-04-15,critical,connor_yazzie,"Chief Technology Officer",188000,"Largest pipeline deal — procurement paused pending KnowGraph clarity. Connor's #1 account."
Jefferson County Public Schools,CO,1850000,yes,yes,2026-05-01,critical,connor_yazzie,"Director of Instructional Technology",86000,"Active contract. Case study MKT-012 references their outcomes with KnowGraph-powered content."
Chicago Public Schools,IL,3200000,yes,no,2026-09-01,high,connor_yazzie,"Chief Education Officer",330000,"Largest district contract. KnowGraph content in use but not referenced in contract language."
Los Angeles Unified School District,CA,2750000,yes,no,2026-08-15,high,connor_yazzie,"Asst Superintendent of Instruction",420000,"Heavy KnowGraph content usage. Renewal not imminent but brand risk is high due to district size."
Houston Independent School District,TX,1400000,yes,yes,2026-04-30,critical,connor_yazzie,"Director of Academic Technology",196000,"Contract explicitly references 'curriculum-aligned content library' — language from KnowGraph."
Miami-Dade County Public Schools,FL,1650000,yes,no,2026-07-01,medium,connor_yazzie,"Executive Director of Ed Tech",340000,"KnowGraph content in use. Moderate renewal risk."
Clark County School District,NV,980000,no,no,2026-10-01,low,connor_yazzie,"Digital Learning Coordinator",310000,"Does not use KnowGraph-sourced content modules. Low exposure."
Broward County Public Schools,FL,1100000,yes,no,2026-06-15,medium,connor_yazzie,"Chief Academic Officer",256000,"Some KnowGraph content in use. Medium risk."
Hillsborough County Public Schools,FL,870000,yes,yes,2026-05-15,high,connor_yazzie,"Director of Digital Learning",220000,"Contract references 'publisher-vetted content' — KnowGraph-dependent claim."
Orange County Public Schools,FL,920000,yes,no,2026-08-01,medium,connor_yazzie,"Instructional Technology Lead",210000,"KnowGraph content in adaptive math module only."
Gwinnett County Public Schools,GA,1350000,yes,no,2026-09-15,medium,connor_yazzie,"Chief Information Officer",180000,"KnowGraph content used in grades 6-8 only."
Montgomery County Public Schools,MD,1500000,yes,yes,2026-04-20,critical,connor_yazzie,"Director of Curriculum and Instruction",162000,"Contract references KnowGraph. Renewal in 24 days. High urgency."
Wake County Public School System,NC,1200000,no,no,2026-11-01,low,connor_yazzie,"Technology Integration Specialist",160000,"Does not use KnowGraph modules. Low exposure."
Duval County Public Schools,FL,780000,yes,no,2026-07-15,medium,connor_yazzie,"Coordinator of Instructional Technology",130000,"KnowGraph content in supplemental module."
Prince George's County Public Schools,MD,1150000,yes,yes,2026-05-30,high,connor_yazzie,"Chief of Teaching and Learning",132000,"Contract references 'CCSS-aligned content from certified partners.' KnowGraph-dependent."
San Diego Unified School District,CA,1080000,yes,no,2026-10-15,low,connor_yazzie,"Director of Ed Tech Innovation",121000,"Minimal KnowGraph content usage. Low risk."
Palm Beach County School District,FL,890000,yes,no,2026-06-01,medium,connor_yazzie,"Asst Superintendent for Teaching and Learning",190000,"KnowGraph content in math practice modules."
Cypress-Fairbanks ISD,TX,650000,no,no,2026-12-01,low,connor_yazzie,"Instructional Technology Director",116000,"No KnowGraph content. Low exposure."
Austin Independent School District,TX,720000,yes,no,2026-08-30,medium,connor_yazzie,"Chief Academic Officer",75000,"Some KnowGraph content in elementary math."
Denver Public Schools,CO,680000,yes,yes,2026-05-10,high,connor_yazzie,"Executive Director of Academics",90000,"Contract references 'content library from education partners.' KnowGraph-dependent."
